v	ignore	Attention
v	hope	Desiring
v	drip	Fluidic_motion
v	discontinue	Activity_stop
v	describe	Communicate_categorization
v	delay	Change_event_time
v	dance	Self_motion
v	control	Control
v	continue	Process_continue
v	check	Inspecting
v	bless	Rite
v	answer	Communication_response
v	alter	Cause_change
v	allow	Preventing_or_letting
v	account	Explaining_the_facts
v	wish	Desiring
v	type	Text_creation
v	train	Education_teaching
v	notice	Becoming_aware
v	watch	Perception_active
v	produce	Creating
v	wonder	Cogitation
v	become	Becoming
v	define	Communicate_categorization
v	emerge	Coming_to_be
v	encourage	Subjective_influence
v	seem	Give_impression
v	spread	Dispersal
v	stop	Activity_stop
v	suffer	Catastrophe
v	compare	Evaluative_comparison
v	drink	Ingestion
v	nod	Body_movement
v	progress	Progression
v	remind	Evoking
v	ruin	Bungling
v	specify	Categorization


n	absence	Presence
n	acceptance	Respond_to_proposal
n	addiction	Addiction
n	accumulation	Amassing
n	answer	Communication_response
n	bell	Noise_makers
n	benefit	Cause_benefit_or_detriment
n	copy	Duplication
n	imagine	Awareness
n	capability	Capability
n	commitment	Commitment





